tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,belum/tidakbekerja,mengurus_rumah_tangga,pelajar/mahasiswa,pensiunan,pegawai_negeri_sipil,tentara_nasional_indonesia,kepolisian_ri,perdagangan,petani_pekebun,peternak,nelayan/perikanan,industri,konstruksi,transportasi,karyawan_swasta,karyawan_bumn,karyawan_bumd,karyawan_honorer,buruh_harian_lepas,buruh_tani_perkebunan,buruh_nelayan_perikanan,buruh_peternakan,pembantu_rumah_tangga,tukang_cukur,tukang_listrik,tukang_batu,tukang_kayu,tukang_sol_sepatu,tukang_las_pandai_besi,tukang_jahit,tukang_gigi,penata_rias,penata_busana,penata_rambut,mekanik,seniman,tabib,paraji,perancang_busana,penterjemah,imam_mesjid,pendeta,pastor,wartawan,ustadz_mubaligh,juru_masak,promotor_acara,anggota_dpr_ri,anggota_dpd,anggota_bpk,presiden,wakil_presiden,anggota_mahkamah_konstitusi,anggota_kabinet_kementerian,duta_besar,gubernur,wakil_gubernur,bupati,wakil_bupati,walikota,wakil_walikota,anggota_dprd_provinsi,anggota_dprd_kabupaten_kota,dosen,guru,pilot,pengacara,notaris,arsitek,akuntan,konsultan,dokter,bidan,perawat,apoteker,psikiater_psikolog,penyiar_televisi,penyiar_radio,pelaut,peneliti,sopir,pialang,paranormal,pedagang,perangkat_desa,kepala_desa,biarawati,wiraswasta,lainnya,hakim
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,8665.0,8663.0,11434.0,1011.0,1224.0,199.0,72.0,,8.0,,,11.0,12.0,2.0,13143.0,191.0,1.0,30.0,509.0,1.0,,,14.0,,,,,,,1.0,,,,,9.0,28.0,,,1.0,1.0,,11.0,,40.0,,,,4.0,,,,,,,1.0,,,,,,,,,84.0,422.0,8.0,23.0,8.0,4.0,1.0,12.0,119.0,14.0,45.0,4.0,,,,5.0,6.0,173.0,,,249.0,,,2.0,2827.0,234.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,3925.0,4274.0,5636.0,317.0,345.0,15.0,33.0,15.0,,,,1.0,1.0,21.0,7398.0,61.0,1.0,17.0,220.0,,,1.0,4.0,,,,,,,,,,,1.0,2.0,16.0,,,,,,8.0,,13.0,,,,1.0,,,,,,,,,,,,,,,,28.0,216.0,6.0,11.0,5.0,2.0,1.0,1.0,63.0,6.0,5.0,1.0,1.0,,,,1.0,58.0,,1.0,82.0,,,,1398.0,211.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,4290.0,5755.0,7746.0,438.0,363.0,19.0,16.0,4.0,,,,2.0,9.0,1.0,9033.0,150.0,,11.0,285.0,10.0,,,14.0,,,,,,,3.0,,,,,7.0,21.0,,,,1.0,,5.0,,18.0,2.0,,,8.0,,,,,,,,,,,,,,,,58.0,213.0,7.0,22.0,7.0,11.0,2.0,14.0,86.0,7.0,13.0,1.0,1.0,1.0,,1.0,,101.0,,,105.0,,,,1299.0,151.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,302.0,506.0,796.0,113.0,74.0,6.0,59.0,3.0,,,,,3.0,,828.0,40.0,1.0,,2.0,,,,4.0,,,,,,,,,,,,1.0,6.0,,,,,,5.0,,6.0,,,,1.0,,,,,,1.0,,,,,,,,,,17.0,9.0,3.0,8.0,3.0,6.0,2.0,7.0,44.0,,,,2.0,,,,,2.0,,,7.0,,,,283.0,68.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,1418.0,1957.0,2509.0,274.0,184.0,8.0,8.0,2.0,1.0,,,2.0,2.0,,2853.0,65.0,2.0,11.0,72.0,,,,15.0,,,,,,,1.0,,,,,1.0,5.0,,,2.0,1.0,,4.0,,12.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,,29.0,52.0,2.0,12.0,4.0,7.0,2.0,12.0,92.0,1.0,8.0,1.0,1.0,,,3.0,1.0,25.0,,,118.0,,,,812.0,20.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,2214.0,2844.0,3684.0,310.0,250.0,10.0,19.0,3.0,,,,2.0,2.0,1.0,4415.0,100.0,1.0,12.0,197.0,,,,18.0,,,,,,,9.0,,,1.0,,,10.0,,1.0,1.0,1.0,,4.0,2.0,19.0,,,,3.0,1.0,,,,,1.0,,,,,,,,,,33.0,110.0,1.0,10.0,5.0,6.0,4.0,6.0,63.0,5.0,7.0,1.0,,1.0,,1.0,1.0,101.0,,,316.0,1.0,,3.0,1168.0,29.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,448.0,708.0,931.0,139.0,70.0,2.0,4.0,1.0,,,,3.0,4.0,1.0,1068.0,24.0,1.0,2.0,27.0,,,,6.0,,,,,,,,,,,,,4.0,,,,,,1.0,,6.0,2.0,,,4.0,,,,,,1.0,,,,,,,,,,17.0,10.0,2.0,7.0,3.0,4.0,,1.0,34.0,1.0,2.0,,1.0,,,,2.0,7.0,,,23.0,,,,352.0,78.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,777.0,1092.0,1613.0,238.0,138.0,2.0,8.0,1.0,,,,3.0,3.0,3.0,1896.0,48.0,1.0,9.0,57.0,,,,8.0,,,,,,,2.0,,,,,3.0,8.0,,,1.0,,,,1.0,5.0,,,,2.0,,,,,,,,,,,,,,,,23.0,62.0,2.0,11.0,6.0,4.0,,8.0,68.0,2.0,2.0,,1.0,1.0,,,1.0,20.0,,1.0,36.0,,,,368.0,28.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,535.0,764.0,1017.0,71.0,55.0,1.0,8.0,,1.0,,,2.0,,1.0,1116.0,32.0,2.0,8.0,21.0,,,,4.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,2.0,,6.0,,,,3.0,,,,,,2.0,,,,,,,,,,11.0,50.0,,6.0,,1.0,,3.0,22.0,1.0,2.0,2.0,,,,1.0,1.0,7.0,,,35.0,,,,387.0,17.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PULO,787.0,1168.0,1690.0,137.0,118.0,9.0,4.0,,,,,,,,2200.0,48.0,1.0,2.0,12.0,2.0,,,5.0,,,,,,,1.0,,,1.0,,,6.0,,,,,,2.0,,11.0,,,,2.0,,,,1.0,,,,,,,,,,,,29.0,41.0,1.0,12.0,5.0,5.0,,1.0,58.0,3.0,1.0,,1.0,,,,,5.0,,,84.0,,,,497.0,41.0,
